,序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201909),净利润(201909),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
3,104,502,绿景控股,绿景控股股份有限公司,广州市,海珠区,1187.37万,-194.11万,127,1992-11-23,--,,房地产开发,主营业务:从事房地产开发及物业管理业务,从事房地产开发及物业管理业务
4,105,503,国新健康,国新健康保障服务集团股份有限公司,海口市,龙华区,5366.20万,-1.47亿,1223,1992-11-30,--,,电子商务B2B,主营业务:医药电子商务、医疗福利管理等,医药电子商务、医疗福利管理等
5,106,504,*ST生物,南华生物医药股份有限公司,长沙市,天心区,9023.57万,-2045.51万,365,1992-12-08,--,,节能环保,主营业务:生物医药、节能环保,生物医药、节能环保
6,107,505,京粮控股,海南京粮控股股份有限公司,海口市,龙华区,51.08亿,1.11亿,2990,1992-12-21,--,,房地产开发,主营业务:植物油加工及食品制造。,植物油加工及食品制造。
7,108,506,中润资源,中润资源投资股份有限公司,济南市,历下区,2.58亿,-3189.96万,1503,1993-03-12,--,,黄金,主营业务:矿业投资与房地产开发,矿业投资与房地产开发
8,109,507,珠海港,珠海港股份有限公司,珠海市,珠海市,23.88亿,1.62亿,2898,1993-03-26,--,,港口,主营业务:港口及其配套设施的项目投资；电力项目投资；玻璃纤维制品项目投资；饮料项目投资；化工原料及化工产品项目投资。,港口及其配套设施的项目投资；电力项目投资；玻璃纤维制品项目投资；饮料项目投资；化工原料及化工产品项目投资。
9,110,509,华塑控股,华塑控股股份有限公司,南充市,顺庆区,4954.67万,1710.81万,64,1993-05-07,--,,其他建材,主营业务:园林工程、大宗商品贸易。,园林工程、大宗商品贸易。
10,111,510,新金路,四川新金路集团股份有限公司,德阳市,旌阳区,17.23亿,5125.32万,2495,1993-05-07,--,,氯碱,主营业务:从事PCV树脂和烧碱的生产与销售,从事PCV树脂和烧碱的生产与销售
11,112,511,烯碳退,银基烯碳新材料集团股份有限公司,沈阳市,沈河区,1.34亿,-1.10亿,179,1993-05-18,--,,非金属新材料,贸易类、房地产、生产类、技术平台开发类,"石墨类产品、石墨烯及纳米碳、碳素类产品、耐火材料、活性碳类产品、烯碳新材料、稀土碳基复合材料、矿产品、金属和非金属材料销售(不含危险化学品),烯碳新材料技术开发和技术转让,城市基础设施投资等。"
12,113,513,丽珠集团,丽珠医药集团股份有限公司,珠海市,金湾区,72.95亿,11.75亿,8243,1993-10-28,--,,化学制剂,主营业务:研究、开发、生产和销售医药产品。,研究、开发、生产和销售医药产品。
13,114,514,渝开发,重庆渝开发股份有限公司,重庆市,渝中区,2.00亿,1462.84万,740,1993-07-12,--,,房地产开发,主营业务:主要从事房地产开发、房屋销售及租赁、物业管理、会展经营、酒店经营管理、市政工程代理。,主要从事房地产开发、房屋销售及租赁、物业管理、会展经营、酒店经营管理、市政工程代理。
14,115,516,国际医学,西安国际医学投资股份有限公司,西安市,碑林区,6.73亿,-2528.82万,2827,1993-08-09,--,,百货,主营业务:大健康医疗服务和现代医学技术转化应用,大健康医疗服务和现代医学技术转化应用
15,116,517,荣安地产,荣安地产股份有限公司,宁波市,海曙区,25.24亿,5.74亿,1432,1993-08-06,--,,房地产开发,主营业务:从事房地产开发、经营；物业服务；建设工程承包等,从事房地产开发、经营；物业服务；建设工程承包等
16,117,518,四环生物,江苏四环生物股份有限公司,无锡市,江阴市,2.86亿,1195.10万,314,1993-09-08,--,,生物医药,主营业务:药品、保健品的研发、生产和销售,药品、保健品的研发、生产和销售
17,118,519,中兵红箭,中兵红箭股份有限公司,湘潭市,湘潭市,33.81亿,2.84亿,8084,1993-10-08,--,,超硬材料,主营业务:超硬材料及其制品和内燃机配件的研发、生产、销售,超硬材料及其制品和内燃机配件的研发、生产、销售
18,119,520,长航凤凰,长航凤凰股份有限公司,武汉市,江汉区,6.07亿,2954.00万,350,1993-10-25,--,,航运,主营业务:从事干货运输,从事干货运输
19,120,521,长虹美菱,长虹美菱股份有限公司,合肥市,蜀山区,130.41亿,6876.70万,--,1993-10-18,--,,冰箱、空调,主营业务:冰箱、冰柜、空调、洗衣机白色家电产品研发、生产与销售。,冰箱、冰柜、空调、洗衣机白色家电产品研发、生产与销售。
0,121,523,广州浪奇,广州市浪奇实业股份有限公司,广州市,天河区,93.74亿,2202.12万,834,1993-11-08,--,,洗涤产品,"主营业务:从事""浪奇""、""高富力""和""维可倚""等品牌的洗涤用品和磺酸、精甘油、AES等化工原料的开发、生产和销售","从事""浪奇""、""高富力""和""维可倚""等品牌的洗涤用品和磺酸、精甘油、AES等化工原料的开发、生产和销售"
1,122,524,岭南控股,广州岭南集团控股股份有限公司,广州市,越秀区,61.60亿,2.65亿,5919,1993-11-18,--,,餐饮,主营业务:酒店管理业务、酒店经营业务、出租车与租赁车业务,酒店管理业务、酒店经营业务、出租车与租赁车业务
2,123,525,红太阳,南京红太阳股份有限公司,南京市,高淳区,41.05亿,2.96亿,3599,1993-10-28,--,,农药,主营业务:原药和制剂产品的生产销售、化肥生态肥的销售,原药和制剂产品的生产销售、化肥生态肥的销售
3,124,526,紫光学大,厦门紫光学大股份有限公司,厦门市,湖里区,24.33亿,6217.66万,14392,1993-11-01,--,,教育培训,主营业务:教育培训服务,教育培训服务
4,125,528,柳工,广西柳工机械股份有限公司,柳州市,柳南区,142.19亿,9.42亿,9807,1993-11-18,--,,工程机械,主营业务:装载机、挖掘机、起重机、压路机、叉车、平地机、推土机、铣刨机、摊铺机、滑移装载机、挖掘装载机等工程机械及配件的生产、销售，以及融资租赁业务,装载机、挖掘机、起重机、压路机、叉车、平地机、推土机、铣刨机、摊铺机、滑移装载机、挖掘装载机等工程机械及配件的生产、销售，以及融资租赁业务
5,126,529,广弘控股,广东广弘控股股份有限公司,广州市,天河区,19.16亿,1.60亿,1749,1993-11-18,--,,肉制品,主营业务:肉类食品供应和教育出版物发行,肉类食品供应和教育出版物发行
6,127,530,大冷股份,大连冷冻机股份有限公司,大连市,沙河口区,14.53亿,1.03亿,1674,1993-12-08,--,,制冷空调设备,主营业务:工业制冷、食品冷冻冷藏、中央及商用空调以及制冷部件等制冷设备的生产和安装。,工业制冷、食品冷冻冷藏、中央及商用空调以及制冷部件等制冷设备的生产和安装。
